forecast;прогноз
residual;остаточный
computationally;вычислительно
motion;движение
inspired;вдохновлённый
intoxicating;вызывающий
fuel;топливо
glance;взглянуть мельком
pop;хлопать
exhaustively;исчерпывающе
stand;стоять
unconsciously;бессознательно
essence;сущность
saliency;выпуклость
tweak;настраивать
erosion;разрушение
dilation;расширение отверстия
respectively;соответственно
elliptical;туманный
salient;выдающийся
trusty;надежный
mature;зрелый
appalled;ошеломлённый
shocked;шокированный
proper;надлежащий
exceed;превышать
irregular;противоречащий 
climbing;скалолазание
thresh;молотить
inclusive;включающий
facilitate;облегчать
consequence;последствие
contrast;отличие
appreciable;ощутимый
silly;глупый
admittedly;общеизвестно
enhancement;повышение
subtle;неуловимый
essentially;по существу
roughly;примерно
boilerplate;стандартный текст
neat;аккуратный
handle;справляться
assumed;предполагаемый
furthermore;более того
angle;угол
canny;проницательный
edged;отточенный
frequency;частота
ratio;соотношение
convenience;удобство
warping;скручивание
whereas;тогда как
accomplish;выполнять
skewed;перекошенный
slightly;немного
warp;отклонение
fellow;приятель
bare;голый
ridiculously;нелепо
prove;доказывать
real deal;то, что надо
stick;держаться
hone;затачивать
rid;избавлять
angular;угловой
inquire;разузнавать
patient;терпеливый
recently;недавно
bending;изгиб
pal;приятель
gaze;вглядываться
looking;определенный
fall;падать
terrifying;устрашающий
vague;неясный
disturbing;беспокоящий
vivid;живой 
indent;делать отступ
desired;желанный
constraint;ограничитель
incorporated;включённый
multitude;множество
reside;проживать
slave;раб
terrified;напуганный
exterminate;истреблять
worth;значимость
auxiliary;запасной
curse;проклинать
buried;погребенный
substitute;заменять
spot;пятно
goal;ворота
goal;цель
weird;странный
desperate;отчаявшийся
once;один раз
pepper;перец 
indirect;косвенный
duplicate;дублировать
hang;висеть
constantly;постоянно
catchy;легко запоминающийся
brief;краткий
swamp;затоплять
fool;болван
shore;берег
take care;быть осторожным
gotta;иметь
excited;взволнованный
elation;эйфория
affirmation;подтверждение
wall;стена
despair;отчаяние
denial;отрицание
excitement;возбуждение
gratitude;благодарность
delight;удовольствие
layout;схема
vital;жизненно важный
spectator;зритель
rave;говорить с энтузиазмом
behalf;лицо
heartfelt;искренний
drug;наркотик
kit;набор
sore;воспалённый
rescue;спасать
stung;возмущённый
certain;уверенный
journey;путешествие
convenient;удобный
liberty;свобода
auction;аукцион 
still;всё ещё
Farewell.;Прощай.
dine;обедать
mare;кобыла
lake;озеро
appointment;встреча
arrange;расставлять
live it up;развлекаться
cheer;ободрять
backyard;задний двор
whole;целый
sentiment;мнение
sharp;резкий 
gorgeous;прекрасный
rush;нападать
blush;краснеть
uptake;поглощение
coy;застенчивый
stone;камень
bump;удар
remaining;оставшийся
vault;прыжок
arbitrary;произвольный
harmful;вредный
prompt;подсказывать
qualm;угрызения совести
unassuming;непритязательный
adjective;прилагательное
verb;глагол
authenticity;подлинность
integrity;честность
hail;прославлять
fashion;мода
receipt;получение
durability;долговечность 
incompatible;несовместимый
glossary;глоссарий
advantage;выгода
rather;наоборот
comparison;сравнение
reliance;уверенность
abruptly;внезапно
pay;заплатить
payload;полезная нагрузка 
eliminate;устранять
mandate;давать полномочия
stock;акции
topic;тема
direct;прямой
can;жестяная банка
frequently;часто
spirit;душа
bright;яркий
bump;шишка
cast;направлять
attorney;адвокат
insurance;страховка
glory;слава
duty;обязанность
although;несмотря на то что
remembered for;запомнившийся чем-то
aficionado;поклонник
statement;высказывание
mystery;загадка
promptly;сразу
registrar;регистратор
bandwidth;пропускная способность соединения
reliable;надёжный
fallacy;логическая ошибка
dial;набирать
creed;мировоззрение
sour;кислый
bowl;миска
tidy;приводить в порядок
asap;как можно скорее
meantime;промежуток 
immediate;незамедлительный
page-turner;захватывающая книга
novel;роман
suspense;неопределенность
reading;чтение
meticulous;тщательный
government;правительство
curtain;штора
estate;имущество
bench;скамья
realty;недвижимость
property;собственность
permitted;разрешённый
refuse;отклонять
stuck;застрявший
surgeon;хирург
stamina;выносливость
afford;позволить себе
grader;оценщик
assignment;задание
demanding;требовательный
persevere;упорствовать
perseverance;упорство
passion;страсть
grit;мужество
discard;избавляться от
mage;маг
countryside;сельская местность
heaven;райское место
award;награда
gap;уще́лье
proposition;предложение
decline;отказываться
purpose;замысел
neither;тоже не
doubt;сомнение
beg;умолять
junkie;наркоман
sinner;грешник
queer;чудной
heaven;рай
miserable;несчастный
hereby;настоящим
conversation;беседа
express;выражать
express;выражать
attendee;участник
invitation;приглашение
advance;достижение
extremely;чрезвычайно
overwhelm;потрясать
demander;требующий
disappointment;неприятность
borrower;заемщик
nearby;ближайший
furniture;мебель
downstair;внизу
cooker;кухонная плита
couch;диван
inspection;проверка
turnover;оборот
appointed;назначенный
rookie;новичок
precedence;приоритет
wise;мудрый
arbitrary;случайный
clause;пункт
redevelopment;перестройка
capacity;способность
shrink;усыхать
dimensional;пространственный
disaster;бедствие
pronunciation;произношение
rollerblading;катание на роликах
honest;честный
tend;заботиться
option;выбор
dish;блюдо
consciously;сознательно
bush;куст
inconsistent;несовместимый
mesh;сетка
spectre;призрак
promptly;незамедлительно
disrupt;прерывать
inconvenience;беспокойство
apology;извинение
shade;тень
perfect;идеальный
breach;нарушение
refund;возврат денег
advance;продвижение
irrelevant;неуместный
independent;независимый
weird;таинственный
struggling;страдающий
redo;обновить
occurrence;инцидент
lookup;поиск
payload;полезная нагрузка
enumerate;перечислять
medieval;средневековый
consistent;последовательный
get out;вытаскивать
salary;зарплата
approve;одобрять
rejoice;радоваться
stare;уставиться
consist;заключаться в
laugh;смеяться
glance;взгляд
drug;медицинский препарат
dozen;дюжина
among;среди 
manage;справляться
among;между 
lying;лживость
below;внизу
underneath;под
within;в пределах 
since;так как
help yourself;угощаться
comma;запятая
care;уход
expand;расширять
intensely;интенсивно
dare;осмеливаться
clause;придаточное предложение 
claw;коготь
abandoned;заброшенный
diversity;разнообразие
anticipate;ожидать
distil;выделять
thrive;разрастаться
assessment;оценивание
thriving;процветающий
crucial;критически важный
entity;сущность
attempt;попытка
precede;предшествовать
unary;одинарный
remainder;остаток
rubbish;мусор
cool down;Остынь! 
despite;несмотря на
mortgage;ипотека
funnies;забавная история
experienced;опытный
passionate;пылкий
infuriated;взбешен
exhausted;изнурённый
capable;способный
cheerful;радостный
eruption;извержение
devastated;опустошенный
suffering;страдание
extinction;вымирание
charge;платёж
rush hour;час пик
congestion;затор
rush;торопиться
hall;зал
over;над
joking;шутливый
grocer;бакалейщик
go along;продолжать
sight;взгляд
away;вдали
supper;ужин
thug;хулиган
been;причастие прошедшего времени от глагола "to be"
widow;вдова
insist;настаивать
impressionable;впечатлительный
tender;ласковый
ghoul;злой дух
prejudice;предубеждение
pride;гордость
revise;корректировать
procrastination;откладывание
prompt;побуждать
foresee;предвидеть
recognise;узнавать
mitigate;уменьшать
backward;назад
moreover;более того
assume;предполагать
occasional;случающийся время от времени
deny;отрицать
malicious;злобный
nasty;злобный
schedule;график
augmented;дополненный
point;точка
keen;жаждущий 
charitable;благотворительный
affluent;богатый
resonate;резонировать
fabulous;изумительный
away;указывает на движение от чего-либо
fascinating;захватывающий
sunset;закат солнца
keen;увлечённый
resurrection;воскресение
inevitable;неизбежный
dry;сухой
faithful;преданный
vitally;жизненно важно
collaboration;сотрудничество
plenty;множество
gather;собирать 
opinion;мнение
crux;суть
elaborate;конкретизировать
concern;проблема
behave;вести себя
caveat;предостережение
bum;плохой человек
agenda;повестка дня
exceed;превосходить
confidently;уверенно
confident;уверенный
vast;огромный
divine;божественный
consider;считать
quite;довольно
hardly;едва
seldom;редко
treat;обходиться 
whale;кит
cure;лечение
miserable;несчастный
lonely;одинокий
pass;проходить
decide;принимать решение
carry;нести
agree;соглашаться
spend;тратить
blink;моргать
pupil;ученик
smell;чувствовать запах
extremely;чрезвычайно
kind;вид
kind;добрый
Easter;Пасха
rug;ковёр
afterward;позднее
pharmacy;аптека
praise;хвалить
waste;растрата
clarity;ясность
stuff;вещество
expectation;ожидание
outlook;взгляд 
hug;обнимать
demolish;уничтожать
mood;настроение
remind;напоминать
pose;представлять
peace;мир
evocative;вызывающий воспоминания
foreign;иностранный
still;неподвижный
still life;натюрморт
landscape;пейзаж
urban;городской
recycle;перерабатывать
violation;нарушение
conversion;преобразование
indeed;действительно
unaware;не знающий
embed;вставлять
aware;сознающий
infer;делать вывод
artificial;искусственный
whose;чей?
insight;понимание
coward;трус
only just;только что
just;только
ever;когда-либо
perfect;законченный
childhood;детство
indefinite;неопределенный
ill;больной
whom;кому; кого; которого; которому
conquer;завоёвывать
satellite;спутник
completely;полностью
denial;отказ
perceived;воспринимаемый
beforehand;заранее
mess;беспорядок
tidy;опрятный
entirely;полностью
bite;кусать
recluse;отшельник
shoulder;плечо
jaw;челюсть
worm;червь
figure out;постигать
incredible;невероятный
reach;добираться
plunk;плюхнуться
get around;обходить
hijacker;тот, кто ворует из машин
cockpit;кабина пилота
fortified;укрепленный
recent;недавний
culprit;преступник
suppose;полагать
behind;за 
intended;умышленный
slight;стройный
argue;спорить 
arguing;спор
palace;дворец
bridesmaid;подружка невесты
affordable;доступный 
boring;скучный
shout;кричать
conduct;управлять
eat out;есть вне дома
chilly;недружелюбный
toil;труд
claim;утверждать
wealth;богатство
valuable;дорогостоящий
thought;мысль
blizzard;снежная буря
appeal;призыв 
via;через
upon;на
confident;уверенный
own;владеть
advertising;реклама
till;пока 
advertise;привлекать внимание
unnoticed;незамеченный
trap;оказаться в ловушке
completion;завершение
versatile;многогранный
yield;приводить
nonetheless;однако
opposed;противоположный
suffer;страдать 
supply;запас
trailing;выслеживание
advert;реклама
invocation;мольба
transition;перемещение
coach;тренер
might;мог(ла)
shall;следует
tense;натянутый
though;но
waste;отходы
fiddling;ничтожный
ounce;унция 
tailor;приспосабливать
vocabulary;словарь
awareness;осведомлённость
pollute;загрязнять 
dust;пыль
reaching;достижение
allies;товарищи
principally;преимущественно
conscious;сознательный
conscientious;добросовестный
consciousness;сознание
seventy;семьдесят
napping;недостаточно бдительный
bribery;взяточничество
kidnapping;похищение человека
mugging;ограбление
vice;порок
casual;обычный
scruffy;неряшливый
disgusting;отвратительный
be going to;собираться 
sightseeing;осмотр достопримечательностей
oven;духовка
wonder;интересоваться
urgent;неотложный
nowadays;в настоящее время
obesity;тучность 
yacht;яхта
disappointed;разочарованный
spent;измотанный
niece;племянница
enjoy;получать удовольствие
regret;сожалеть
earn;зарабатывать 
tackle;решать 
during;в течение
opportunity;возможность
linger;задерживаться
advantage;преимущество
withstand;выдерживать
growth;рост
resilience;устойчивость
trigger;вызывать
outperform;превосходить
dove;голубь
bedridden;прикованный к постели
reasonable;разумный
assumption;предположение
fewer;несколько
aisle;проход
what's up?;Что случилось?
gush;хлынуть
awe;трепет
prisoner;заключённый
interact;взаимодействовать
explore;изучать
narrow;узкий
fluent;свободно владеющий
gap;различие
present;представлять
intimately;тесно
